model,val_f1_macro_mean,val_f1_macro_std,val_accuracy_mean,val_accuracy_std,test_f1_macro_mean,test_f1_macro_std,test_accuracy_mean,test_accuracy_std
complement_nb,0.8158302810889376,0.01615597571106712,0.8445402298850574,0.01555444666979811,0.8350846317861519,0.009793419548403943,0.8352380952380953,0.009874495882537016
linear_svm,0.8210362751217992,0.01120364989831497,0.853735632183908,0.00933355274075385,0.8180840063978284,0.010035127682063374,0.819047619047619,0.01010152544552215
logreg,0.8327800630015793,0.008035089088581112,0.860632183908046,0.007038763628687275,0.8237712653599445,0.011144215582911565,0.8247619047619047,0.010858813572372759
passive_aggressive,0.812250705525147,0.0162614061510895,0.8482758620689654,0.010780650277186265,0.7982107741151961,0.013082306887894841,0.8,0.013041013273932534
sgd_log,0.8036430959817447,0.007609485960808356,0.8548850574712643,0.00601048869636549,0.7706664205296382,0.01202789211832188,0.7780952380952381,0.011952286093343888
