threshold,f1_macro,accuracy
0.1,0.8105084033613446,0.8846153846153846
0.15000000000000002,0.8105084033613446,0.8846153846153846
0.20000000000000004,0.8105084033613446,0.8846153846153846
0.25000000000000006,0.8105084033613446,0.8846153846153846
0.30000000000000004,0.8105084033613446,0.8846153846153846
0.3500000000000001,0.6721404190488864,0.8782051282051282
0.40000000000000013,0.6719861200411478,0.875
0.45000000000000007,0.6767631267631268,0.8653846153846154
0.5000000000000001,0.6708170561581012,0.8397435897435898
0.5500000000000002,0.6991791721855325,0.8301282051282052
0.6000000000000002,0.6979531284147736,0.8205128205128205
0.6500000000000001,0.6895563279194992,0.7884615384615384
0.7000000000000002,0.6466309908874818,0.7564102564102564
0.7500000000000002,0.621123531379765,0.6955128205128205
0.8000000000000002,0.4828458857870623,0.6089743589743589
0.8500000000000002,0.43047229517417546,0.5064102564102564
0.9000000000000002,0.3391866847749201,0.358974358974359
0.9500000000000003,0.1958515014703113,0.17307692307692307
