Threshold,Macro-F1,Accuracy
0.1,0.8333530604794346,0.8782051282051282
0.15000000000000002,0.8333530604794346,0.8782051282051282
0.20000000000000004,0.8333530604794346,0.8782051282051282
0.25000000000000006,0.8333530604794346,0.8782051282051282
0.30000000000000004,0.8333530604794346,0.8782051282051282
0.3500000000000001,0.6964268908358555,0.8782051282051282
0.40000000000000013,0.6970297335989771,0.8782051282051282
0.45000000000000007,0.6961948179658551,0.875
0.5000000000000001,0.7127209176389503,0.875
0.5500000000000002,0.709554739443988,0.8621794871794872
0.6000000000000002,0.7132921067579402,0.8525641025641025
0.6500000000000001,0.7102949038438539,0.8365384615384616
0.7000000000000002,0.7236449897078526,0.8237179487179487
0.7500000000000002,0.6777095901809861,0.782051282051282
0.8000000000000002,0.6676589904684177,0.7532051282051282
0.8500000000000002,0.6429275385062022,0.7051282051282052
0.9000000000000002,0.5888866465476207,0.6506410256410257
0.9500000000000003,0.4358356953892668,0.5224358974358975
