model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
distilbert,0.9389747669098096,0.01906699053265894,0.9222618128225205,0.9556877209970988,0.8307069075378862,0.010720756499690252,0.8213097501389024,0.8401040649368701,0.9337278106508876,0.018189853430697536,0.917783701132343,0.9496719201694322,0.8955128205128204,0.007718970883841216,0.888746844216677,0.9022787968089638
passive_aggressive,0.9316406701227615,0.0172657576379242,0.9165065662802792,0.9467747739652439,0.7786897583639479,0.006739269728443671,0.7727825279931974,0.7845969887346985,0.92603550295858,0.01660498840284293,0.9114805888875138,0.9405904170296461,0.8416666666666668,0.013137116366614868,0.830151476458829,0.8531818568745045
linear_svm,0.9288196494219824,0.01601590376540777,0.9147810908020881,0.9428582080418766,0.7913816538756946,0.009222062503493719,0.7832981596846735,0.7994651480667156,0.9278106508875739,0.015458402932086565,0.9142607632939206,0.9413605384812271,0.8711538461538462,0.009453770002405496,0.8628672513851876,0.8794404409225047
xlm_roberta,0.9258246354685646,0.015663520029704083,0.9120949548116523,0.939554316125477,0.8438345226275803,0.027292263826569983,0.8199117986145612,0.8677572466405994,0.923076923076923,0.015794494455667607,0.9092324382738615,0.9369214078799846,0.8955128205128204,0.009774327360241615,0.8869452448313806,0.9040803961942603
sgd_log,0.9165950672884042,0.018391619169596623,0.9004741023020377,0.9327160322747707,0.7838176551254366,0.0030078359445433072,0.7811811706756674,0.7864541395752057,0.9171597633136095,0.018357505393477594,0.9010687003704126,0.9332508262568063,0.8602564102564102,0.004860817592340779,0.8559957157798315,0.8645171047329889
logreg_ovr,0.902698924512799,0.025628558334614797,0.8802345026610041,0.9251633463645939,0.7800861782751125,0.007749472001855741,0.7732934665702472,0.7868788899799778,0.9041420118343195,0.02219920885479774,0.8846835473362706,0.9236004763323684,0.8544871794871796,0.0066462953055537784,0.8486614447912912,0.8603129141830679
complement_nb,0.8803588526343589,0.01505906975662332,0.8671589960021002,0.8935587092666175,0.7144996758796491,0.005444458365221888,0.7097273977095702,0.7192719540497281,0.8923076923076924,0.015877405757394946,0.8783905325443787,0.906224852071006,0.7961538461538461,0.00536320529829539,0.79145278943713,0.8008549028705622
