model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
distilbert,0.9478216689882505,0.013116348636785867,0.9363246824982221,0.9593186554782789,0.8318610300574425,0.015304329640912773,0.8184461936580013,0.8452758664568837,0.9448051948051948,0.012987012987013007,0.9334215760106503,0.9561888135997392,0.8897435897435898,0.00536320529829539,0.8850425330268737,0.8944446464603059
sgd_log,0.946477584217057,0.010666336288047152,0.9371281282367661,0.9558270401973479,0.7907735473142654,0.0032686037703616084,0.7879084897872255,0.7936386048413053,0.9435064935064934,0.01016394535227177,0.9345974025974025,0.9524155844155843,0.8692307692307694,0.0035110420352895137,0.8661532051949649,0.8723083332665739
xlm_roberta,0.9449424281926679,0.012472442771612934,0.9340098500786094,0.9558750063067265,0.8033971523577976,0.01452436094354779,0.7906659886651874,0.8161283160504078,0.9422077922077922,0.01223470368923168,0.9314836015873859,0.9529319828281985,0.8756410256410255,0.016868842778129202,0.8608548330127934,0.8904272182692576
linear_svm,0.9439891073583135,0.008822505388413239,0.9362558404204163,0.9517223742962108,0.7965654476111177,0.004749397477659305,0.7924024171711305,0.8007284780511049,0.940909090909091,0.008711953159090124,0.9332727272727274,0.9485454545454547,0.875,0.005996245812137706,0.8697440588076706,0.8802559411923294
logreg_ovr,0.938155117656939,0.010861321021442466,0.9286347500222171,0.947675485291661,0.7892993437693604,0.0016776111453077835,0.7878288527655584,0.7907698347731624,0.9344155844155843,0.010865714630312677,0.924891365612887,0.9439398032182815,0.8673076923076923,0.0017555210176447569,0.8657689102897901,0.8688464743255946
passive_aggressive,0.9358509898624673,0.0107888146631413,0.9263941768529625,0.945307802871972,0.7797434371152443,0.008189459819005587,0.7725650590843588,0.7869218151461298,0.9324675324675326,0.011105604789926674,0.9227330406688554,0.9422020242662097,0.8551282051282051,0.007652138709175216,0.8484208098160315,0.8618356004403787
complement_nb,0.9183903937384541,0.007399151775183294,0.911904751251156,0.9248760362257522,0.740128910809678,0.014045257540858582,0.7278176997655204,0.7524401218538357,0.9149350649350648,0.00775151713396966,0.9081405605928631,0.9217295692772666,0.8230769230769232,0.011422134411029142,0.8130649808323724,0.8330888653214739
