model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
linear_svm,0.8974047731198886,0.044886948662074135,0.8580596278635998,0.9367499183761775,0.6424637691910545,0.023272681191165316,0.622064364703501,0.662863173678608,0.9327683615819209,0.011715503589450688,0.9224992699145923,0.9430374532492495,0.7955128205128206,0.008893869824045926,0.7877169998890571,0.8033086411365841
sgd_log,0.8927783127519409,0.03875153046587583,0.8588110986612307,0.926745526842651,0.6982529176091912,0.014747657723555643,0.6853260256591133,0.7111798095592691,0.9231638418079096,0.010066965921585003,0.9143397571177971,0.931987926498022,0.8128205128205128,0.008044807947443005,0.8057689277454388,0.8198720978955868
passive_aggressive,0.8918844730569205,0.05005502433337652,0.8480093097431848,0.9357596363706563,0.6725004876077743,0.03904518015024963,0.6382758782199782,0.7067250969955703,0.944632768361582,0.008843206690677131,0.9368813559322036,0.9523841807909605,0.8012820512820513,0.010869118562700768,0.7917548488010635,0.8108092537630391
distilbert,0.8364458011604761,0.041991215795244306,0.7996388776738727,0.8732527246470795,0.7448369957176538,0.028521410845594813,0.7198368768393936,0.7698371145959141,0.9327683615819209,0.014039292248349374,0.9204623793471892,0.9450743438166526,0.9185897435897437,0.0073787592520649795,0.9121219759370723,0.925057511242415
logreg_ovr,0.7986902775800889,0.03513686928760288,0.7678914537085959,0.829489101451582,0.666354998364898,0.016361611083101944,0.6520134139204319,0.6806965828093641,0.8638418079096046,0.013309851965412145,0.8521752082736773,0.8755084075455319,0.7448717948717949,0.00895143592549288,0.7370255153353457,0.7527180744082441
xlm_roberta,0.7358627086788194,0.01708233599383403,0.7208893809961113,0.7508360363615275,0.7162211957951918,0.004610443620297151,0.7121799637813573,0.7202624278090264,0.923728813559322,0.01369401089665631,0.9117254837734998,0.9357321433451442,0.9038461538461539,0.005996245812137706,0.8985902126538244,0.9091020950384833
complement_nb,0.7161963914066016,0.02629974466928102,0.6931436487930128,0.7392491340201904,0.6215597825104486,0.009001687153023763,0.6136694558310003,0.629450109189897,0.8050847457627117,0.01841582600339734,0.788942562550993,0.8212269289744304,0.7134615384615385,0.0036544084137792756,0.7102583082542815,0.7166647686687955
