model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
sgd_log,0.7115555555555556,0.16280261471495072,0.5688527718959594,0.8542583392151518,0.6443643839151516,0.01906497404330409,0.6276531973587136,0.6610755704715896,0.7333333333333333,0.16029486718059455,0.5928286873049704,0.8738379793616962,0.7410256410256411,0.01941683491136018,0.7240060348199217,0.7580452472313605
logreg_ovr,0.6942857142857143,0.17723116078653178,0.5389357523717613,0.8496356761996673,0.654413211815189,0.007412899516834397,0.6479155189010223,0.6609109047293557,0.7000000000000001,0.1513825177048746,0.5673073727242794,0.8326926272757207,0.7474358974358974,0.007652138709175179,0.740728502123724,0.7541432927480709
passive_aggressive,0.6648888888888889,0.17734948408769854,0.5094352120286013,0.8203425657491764,0.6421343213244775,0.019243094082020174,0.6252670056702676,0.6590016369786873,0.7,0.17280367794439766,0.5485308979069035,0.8514691020930965,0.7397435897435898,0.020067276721151935,0.7221538461538463,0.7573333333333333
linear_svm,0.6452063492063492,0.22777292179990535,0.44555458046764307,0.8448581179450554,0.6588108237497025,0.011341601559283472,0.6488694716620744,0.6687521758373305,0.6666666666666667,0.19543398999264291,0.49536122146554196,0.8379721118677915,0.7538461538461538,0.012495890185652545,0.7428930231675132,0.7647992845247945
complement_nb,0.620095238095238,0.18891515090209898,0.45450380729172224,0.7856866688987538,0.6564349386542849,0.014438654708662953,0.6437788997888556,0.6690909775197142,0.65,0.14907119849998599,0.5193333333333334,0.7806666666666666,0.7525641025641026,0.01228864712351334,0.7417926284387868,0.7633355766894183
distilbert,0.1,0.0,0.1,0.1,0.10896670680963645,0.008949119263849897,0.10112245791664973,0.11681095570262318,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.35705128205128206,0.0028667538173074124,0.3545384615384616,0.35956410256410254
xlm_roberta,0.09230769230769231,0.017200522903844537,0.07723076923076924,0.10738461538461538,0.11158831168068066,0.014811205965649336,0.09860571724044727,0.12457090612091405,0.29999999999999993,0.07453559924999299,0.2346666666666666,0.3653333333333333,0.36730769230769234,0.025800784355766788,0.34469230769230774,0.38992307692307693
