model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
complement_nb,1.0,0.0,1.0,1.0,0.5435287842687846,0.0040994344255089596,0.5399354715632462,0.547122096974323,1.0,0.0,1.0,1.0,0.6134615384615385,0.005822404527110598,0.6083579758740107,0.6185651010490663
distilbert,1.0,0.0,1.0,1.0,0.7835903416910404,0.010046194736148335,0.7747844637477109,0.7923962196343698,1.0,0.0,1.0,1.0,0.8628205128205128,0.007308816827558604,0.8564140524059988,0.8692269732350267
linear_svm,1.0,0.0,1.0,1.0,0.6979730691980811,0.0023963771664802518,0.6958725519984417,0.7000735863977205,1.0,0.0,1.0,1.0,0.7807692307692308,0.0017555210176447569,0.7792304487513285,0.782308012787133
logreg_ovr,1.0,0.0,1.0,1.0,0.7092422014299894,0.007612184371964046,0.702569827638504,0.7159145752214748,1.0,0.0,1.0,1.0,0.7948717948717948,0.002266367888418453,0.7928852358288685,0.7968583539147212
passive_aggressive,1.0,0.0,1.0,1.0,0.6847166208976248,0.00835790227114914,0.6773905965476097,0.6920426452476398,1.0,0.0,1.0,1.0,0.7737179487179487,0.004860817592340721,0.76945725424137,0.7779786431945275
sgd_log,1.0,0.0,1.0,1.0,0.7042165919047902,0.003628069464434075,0.7010364488045604,0.7073967350050201,1.0,0.0,1.0,1.0,0.7833333333333333,0.0017555210176447569,0.7817945513154311,0.7848721153512356
xlm_roberta,0.9961556064073227,0.008596325405491174,0.9886205949656751,1.0036906178489704,0.7789258821840142,0.019388782371940597,0.7619308651132475,0.7959208992547808,0.9969230769230769,0.00688020916153779,0.9908923076923077,1.002953846153846,0.8474358974358974,0.02509433221931203,0.8254397454204982,0.8694320494512966
