model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
sgd_log,0.8105790195957091,0.047022054805624214,0.7693623712887673,0.8517956679026509,0.7908827404146503,0.0037798207623984652,0.7875695814369951,0.7941958993923056,0.8677966101694915,0.009453785610554528,0.8595100017196871,0.876083218619296,0.8711538461538462,0.0035110420352895137,0.8680762821180417,0.8742314101896507
passive_aggressive,0.805068881909591,0.03285357210501433,0.7762714562616339,0.8338663075575482,0.793998271361637,0.014431254150795098,0.7813487193711895,0.8066478233520845,0.8677966101694915,0.013006626478216213,0.8563957993919014,0.8791974209470816,0.8525641025641025,0.005996245812137706,0.8473081613717731,0.857820043756432
linear_svm,0.7955699766139896,0.030531169955822238,0.7688082262040931,0.8223317270238862,0.7828824354588514,0.0024297725109786927,0.7807526459491232,0.7850122249685796,0.8655367231638419,0.014067683161569195,0.8532058551964443,0.8778675911312395,0.8615384615384615,0.0014333769086537558,0.8602820512820512,0.8627948717948718
logreg_ovr,0.7657477160586954,0.044367911759288836,0.7268575267070104,0.8046379054103804,0.7483000288471935,0.00489026980897793,0.7440135183644871,0.7525865393298998,0.8463276836158192,0.012883338136713437,0.835034939834303,0.8576204273973355,0.8256410256410257,0.004300130725961168,0.821871794871795,0.8294102564102565
distilbert,0.7282058448657519,0.020049384323085725,0.7106317846544041,0.7457799050770997,0.7487904011753315,0.04337080962362815,0.7107742103807387,0.7868065919699242,0.9107344632768362,0.020133931843169993,0.8930862938966113,0.928382632657061,0.9102564102564102,0.0039254643313832846,0.9068155890618265,0.913697231450994
xlm_roberta,0.7187283520716428,0.01735256736261408,0.7035181561505186,0.7339385479927669,0.7122009116415184,0.004043704195991548,0.7086564486359682,0.7157453746470687,0.9028248587570621,0.012883338136713425,0.8915321149755459,0.9141176025385783,0.8929487179487179,0.0062479450928262965,0.8874721526093975,0.8984252832880383
complement_nb,0.710391251479297,0.033257950484245076,0.6812393725538601,0.739543130404734,0.6808086330352615,0.007152933315723057,0.6745388105433294,0.6870784555271936,0.8,0.022809750551622984,0.7800063721089691,0.819993627891031,0.7685897435897435,0.008893869824045917,0.76079392296598,0.776385564213507
