model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
passive_aggressive,0.9540591289385982,0.011089923044390436,0.9443383827959388,0.9637798750812576,0.7787486901158797,0.008323324349590934,0.7714529746504496,0.7860444055813097,0.9535,0.012067518386147195,0.9429223537589878,0.9640776462410122,0.8506410256410255,0.009233884801851206,0.8425471687485957,0.8587348825334553
linear_svm,0.9529597479303524,0.006495136891935679,0.9472665094258468,0.9586529864348581,0.7886869202457615,0.005134451549159957,0.78418637503085,0.793187465460673,0.952,0.007582875444051557,0.9453533166165372,0.9586466833834627,0.8705128205128204,0.006247945092826237,0.8650362551735001,0.8759893858521407
xlm_roberta,0.9514894036448869,0.01117731854648059,0.9416920519670557,0.961286755322718,0.8211126721662045,0.021735391190682282,0.8020607617759976,0.8401645825564115,0.951,0.011672617529928759,0.9407684996212676,0.9612315003787323,0.8871794871794872,0.010726410596590727,0.8777773737460552,0.8965816006129192
distilbert,0.9511194913198923,0.006431294248509666,0.9454822133596876,0.9567567692800969,0.8243498807356863,0.019333796757156768,0.8074030606813166,0.8412967007900559,0.9515,0.00675462804305315,0.9455793074729387,0.9574206925270613,0.8891025641025643,0.005822404527110598,0.8839990015150365,0.894206126690092
sgd_log,0.939048703463456,0.011969126771374152,0.9285573012753509,0.9495401056515612,0.7802646596738876,0.0045737447897488525,0.7762555956033349,0.7842737237444403,0.9390000000000001,0.012323757543866214,0.9281977502343263,0.9498022497656738,0.8576923076923076,0.004860817592340746,0.8534316132157289,0.8619530021688864
logreg_ovr,0.9289998781754993,0.011195376903707671,0.9191866976496541,0.9388130587013446,0.771687330065328,0.003256634040135234,0.7688327644694277,0.7745418956612282,0.9279999999999999,0.011645814698852121,0.9177919933385601,0.9382080066614398,0.848076923076923,0.0028667538173074124,0.8455641025641024,0.8505897435897435
complement_nb,0.916353780845153,0.009861443458548553,0.9077098445367555,0.9249977171535504,0.7199872353346389,0.00688724767480533,0.713950296574972,0.7260241740943059,0.9135,0.011263880326068823,0.9036267735769912,0.9233732264230088,0.7897435897435898,0.008659779542375836,0.7821529582986394,0.7973342211885402
