model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
linear_svm,0.937292514659033,0.014867552603777326,0.9242605302128417,0.9503244991052242,0.490472493176146,0.007476391615700126,0.48391914698353294,0.49702583936875905,0.9395833333333334,0.008715208609729923,0.93194411616867,0.9472225504979969,0.5330188679245282,0.01451478021826786,0.5202961021078939,0.5457416337411626
sgd_log,0.9276505588325692,0.01682149601568063,0.9129058674714421,0.9423952501936963,0.4513345323447499,0.042261924185282615,0.414290322492162,0.4883787421973378,0.9291666666666668,0.020036858397574294,0.9116035859131215,0.9467297474202121,0.542688679245283,0.014282992385509214,0.5301690844220076,0.5552082740685583
logreg_ovr,0.91536031770184,0.02143701066446614,0.8965699493744274,0.9341506860292527,0.4401139939124663,0.004283407664890216,0.43635942155256335,0.44386856627236926,0.9270833333333334,0.01275775907699572,0.9159006644509362,0.9382660022157305,0.5742924528301886,0.008824663648051762,0.5665572940943076,0.5820276115660696
passive_aggressive,0.8972012424991286,0.06648039900303566,0.8389286034930266,0.9554738815052306,0.4537799393558937,0.04182347363320702,0.4171200483570775,0.49043983035470995,0.925,0.01141088661469098,0.9149979168836354,0.9350020831163647,0.502122641509434,0.029237198365180735,0.47649510720708754,0.5277501758117804
complement_nb,0.7981058864753173,0.014439669973071207,0.785448957691397,0.8107628152592377,0.3987342890542841,0.00361613740287401,0.3955646048671522,0.40190397324141597,0.85625,0.015450413514782624,0.842707115439382,0.8697928845606179,0.5099056603773585,0.0066499397074866705,0.5040767312223301,0.5157345895323869
xlm_roberta,0.6432589780570585,0.04145386963062075,0.6069230592506615,0.6795948968634554,0.504196114622748,0.00842920279280025,0.49680759260994173,0.5115846366355543,0.8145833333333334,0.032442523963328015,0.7861462072674158,0.8430204593992511,0.6261792452830189,0.017550561398746705,0.6107954999373134,0.6415629906287245
distilbert,0.6332380752288274,0.023997807843393757,0.6122030692064954,0.6542730812511593,0.5258469470277801,0.015339959206460314,0.5124008799371543,0.5392930141184059,0.8020833333333334,0.018042195912175787,0.7862686513363197,0.817898015330347,0.6672169811320755,0.016220517796273017,0.6529990704063726,0.6814348918577784
