model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
sgd_log,0.6030483329518193,0.026665095003594506,0.5796753466504445,0.626421319253194,0.6016186553436487,0.004909825329201212,0.597315003691701,0.6059223069955963,0.6950000000000001,0.008789592962387046,0.6872955820754872,0.7027044179245129,0.7070754716981132,0.00349820683353571,0.7040091582126903,0.7101417851835362
distilbert,0.5679841818664589,0.010209718923949526,0.559034968652773,0.5769333950801449,0.5651748052084431,0.008563049427166073,0.5576689614478202,0.572680648969066,0.7295833333333334,0.010865337342004407,0.7200594452384194,0.7391072214282474,0.7299528301886792,0.007026164674418026,0.7237941253101015,0.7361115350672569
logreg_ovr,0.5669758277968946,0.019699239095947684,0.5497086834092588,0.5842429721845304,0.5729961815657354,0.004470873632149415,0.5690772880404987,0.5769150750909721,0.64,0.012004050242406616,0.6294779860398412,0.6505220139601589,0.6615566037735849,0.003999015320238977,0.6580513122947309,0.665061895252439
xlm_roberta,0.5502955313390442,0.006709837037205761,0.5444140998596542,0.5561769628184342,0.5574484053474956,0.008513487315266806,0.5499860046933883,0.5649108060016029,0.7216666666666667,0.011840226865319013,0.7112882502278366,0.7320450831054968,0.7280660377358491,0.00621765392757739,0.7226160237735375,0.7335160516981607
linear_svm,0.5445079952212113,0.03197305923625617,0.5164823731320599,0.5725336173103627,0.5579157821741734,0.006490508494932456,0.5522266006385155,0.5636049637098313,0.63375,0.014613064930625147,0.6209410838345576,0.6465589161654425,0.6488207547169811,0.003576828039646999,0.6456855267059137,0.6519559827280484
complement_nb,0.4883054841594122,0.023444500738105528,0.46775547319862465,0.5088554951201998,0.4911838256327511,0.011207171787520443,0.481360306435405,0.5010073448300972,0.5895833333333333,0.02338535866733716,0.5690851626832485,0.6100815039834182,0.5950471698113208,0.010501243802308114,0.5858424237751392,0.6042519158475024
passive_aggressive,0.4730621680702122,0.03486792156767246,0.4424990872693091,0.5036252488711153,0.4959301195197918,0.019481598520092482,0.4788537455080877,0.513006493531496,0.5870833333333334,0.02027373437617144,0.5693126216299591,0.6048540450367077,0.5974056603773585,0.009529294269262684,0.5890528656699997,0.6057584550847174
