model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
linear_svm,0.812793833170441,0.011845413226120602,0.8024108706859301,0.8231767956549518,0.6100796584102228,0.006993322536410105,0.6039497409348651,0.6162095758855806,0.8097886540600667,0.010581923020267224,0.8005131895713197,0.8190641185488138,0.6849056603773584,0.008437992367923742,0.6775094339622642,0.6923018867924527
distilbert,0.7862223045540618,0.007644364281679729,0.7795217238280479,0.7929228852800758,0.6102122812943876,0.007471532365248588,0.6036631944225916,0.6167613681661837,0.7830923248053392,0.007666322998937842,0.7763724964150059,0.7898121531956724,0.7030660377358491,0.0042024834153786385,0.699382398608137,0.7067496768635612
passive_aggressive,0.7843946793501202,0.01598901140297658,0.7703796929252108,0.7984096657750296,0.552087732402991,0.013304385794890775,0.5404259240767778,0.5637495407292042,0.7715239154616239,0.016169256734452492,0.7573509370377022,0.7856968938855456,0.628066037735849,0.005313151097202301,0.6234088554608448,0.6327232200108532
logreg_ovr,0.775837544571448,0.014336486949188699,0.7632710596956936,0.7884040294472024,0.6224906691253091,0.006662873145072657,0.6166504033123957,0.6283309349382226,0.7846496106785317,0.013659694267416015,0.7726763607444795,0.7966228606125838,0.7087264150943396,0.0014442746124900755,0.7074604525793513,0.709992377609328
xlm_roberta,0.7687516574074105,0.010988418310785121,0.7591198840866279,0.778383430728193,0.6191780146378875,0.01356303816664542,0.6072894875116465,0.6310665417641285,0.7719688542825361,0.010164442092601284,0.7630593279613488,0.7808783806037235,0.7120283018867924,0.004202483415378636,0.7083446627590804,0.7157119410145045
sgd_log,0.7678511128260884,0.012233456665905394,0.7571280152698215,0.7785742103823553,0.6246901953079139,0.002745420026896618,0.6222837285515973,0.6270966620642305,0.7793103448275862,0.011140143233418722,0.7695455787483748,0.7890751109067976,0.7120283018867924,0.0022683235921782162,0.7100400285939382,0.7140165751796467
complement_nb,0.7435627388132442,0.009953430490631176,0.734838172316187,0.7522873053103014,0.5568080936668365,0.008511752751291,0.54934721342509,0.564268973908583,0.7543937708565072,0.010824685762583192,0.7449055154420248,0.7638820262709896,0.6643867924528302,0.007486118041558456,0.6578249206720533,0.670948664233607
