model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
linear_svm,0.7926364572278406,0.013433766647696159,0.7808612415839383,0.8044116728717429,0.6317798121534409,0.008653094536969733,0.6241950403740856,0.6393645839327963,0.7946169772256729,0.01687719863763373,0.7798234603636547,0.8094104940876912,0.7089622641509434,0.005365242059470454,0.7042594221343424,0.7136651061675444
passive_aggressive,0.7578063177972847,0.018870887005499822,0.7412652560303988,0.7743473795641705,0.5792047589639885,0.017203918055954545,0.5641248599050279,0.594284658022949,0.746583850931677,0.019009323281388074,0.7299214444188034,0.7632462574445507,0.6608490566037736,0.006047585568376452,0.6555481141309641,0.666149999076583
logreg_ovr,0.7518608103438579,0.012476171347834268,0.7409249639886424,0.7627966566990734,0.6216628072720506,0.002043135297374189,0.6198719202224847,0.6234536943216165,0.7656314699792961,0.013147405481040618,0.7541072609650189,0.7771556789935733,0.7183962264150943,0.0030524007324398065,0.7157206792064305,0.7210717736237581
distilbert,0.7503970627394592,0.009701799570805244,0.7418930604684548,0.7589010650104635,0.6391085277334871,0.009596859640057022,0.6306965093674161,0.6475205460995582,0.7608695652173912,0.008183948395880917,0.7536960181618755,0.768043112272907,0.7264150943396227,0.007910617844928497,0.7194811320754717,0.7333490566037737
sgd_log,0.7499447090907642,0.011040821721272373,0.7402670021554454,0.7596224160260829,0.6276177121926647,0.0022749116124366636,0.6256236642454456,0.6296117601398838,0.7608695652173914,0.011825734636434621,0.7505038517772623,0.7712352786575204,0.721933962264151,0.002109498091980908,0.7200849056603774,0.7237830188679245
xlm_roberta,0.7366737979567066,0.013024321908857812,0.7252574764502806,0.7480901194631326,0.6423893723541427,0.012794096679123483,0.6311748521591347,0.6536038925491507,0.7515527950310559,0.009345481410594082,0.7433611193981686,0.7597444706639431,0.7323113207547169,0.007269356135576604,0.7259394491617696,0.7386831923476643
complement_nb,0.7040029575272383,0.010493432300530754,0.694805058574257,0.7132008564802196,0.5696513341900062,0.004656066370510162,0.5655701120724194,0.5737325563075931,0.7287784679089027,0.010531568296778362,0.7195471412813617,0.7380097945364437,0.6766509433962264,0.004672550178339373,0.6725552725840246,0.6807466142084283
