model,val_f1_macro_mean,val_f1_macro_std,val_f1_macro_CI_low,val_f1_macro_CI_high,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_CI_low,test_f1_macro_CI_high,val_accuracy_mean,val_accuracy_std,val_accuracy_CI_low,val_accuracy_CI_high,test_accuracy_mean,test_accuracy_std,test_accuracy_CI_low,test_accuracy_CI_high
sgd_log,0.6656244785135368,0.016609027234445642,0.6510660242504814,0.6801829327765921,0.6351954968629241,0.009077073075283975,0.6272390915091615,0.6431519022166867,0.7470833333333333,0.020550158826096156,0.7290703249165745,0.7650963417500921,0.7214622641509434,0.004284410878439876,0.7177068124355928,0.725217715866294
distilbert,0.6333735023813374,0.03435637879537653,0.6032588085900372,0.6634881961726375,0.6288394998097359,0.024599777070226224,0.6072768444956722,0.6504021551237995,0.7575000000000001,0.013225475206753242,0.7459073598539611,0.7690926401460391,0.746933962264151,0.003784624182990835,0.7436165929027078,0.7502513316255942
linear_svm,0.6332520105331766,0.029391235401917737,0.6074894568150331,0.6590145642513201,0.6196843536787398,0.0048281078743470365,0.6154523305341209,0.6239163768233587,0.6983333333333334,0.02032718486275075,0.6805157702127618,0.716150896453905,0.6922169811320754,0.0034380612587531266,0.6892033875674063,0.6952305746967445
logreg_ovr,0.624811793445456,0.01796371014723213,0.609065907254669,0.640557679636243,0.6068686119144402,0.0011324677150818356,0.6058759601954874,0.607861263633393,0.7045833333333335,0.018888378261071873,0.688026939804951,0.7211397268617159,0.6903301886792452,0.0015821235689857352,0.688943396226415,0.6917169811320755
xlm_roberta,0.6023015210872364,0.026063048425447457,0.5794562518790101,0.6251467902954628,0.5961520423292573,0.019964946114291972,0.5786519954712159,0.6136520891872987,0.76,0.01116091269664906,0.7502170286835861,0.7697829713164139,0.7507075471698113,0.0033973727101150814,0.747729618690521,0.7536854756491015
complement_nb,0.561446908194068,0.012147527044377531,0.5507991312720079,0.572094685116128,0.5428487895084035,0.003308698674584575,0.5399485872482572,0.5457489917685499,0.6712499999999999,0.015756392000990868,0.6574389134710149,0.6850610865289849,0.6549528301886792,0.0033973727101150814,0.651974901709389,0.6579307586679695
passive_aggressive,0.5429363065990687,0.03117299550851781,0.5156119712874868,0.5702606419106505,0.5711746723099498,0.01584799294892668,0.5572832940099807,0.5850660506099189,0.6395833333333334,0.013010412496663333,0.6281792039642554,0.6509874627024114,0.6514150943396226,0.008237853394609923,0.6441942974694448,0.6586358912098005
